"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss"
"9200","ZDHHC20","ZDHHC20..253832.",0.0124072264581178,0.355323605278898,1.8827679368157e-05,-0.348328694581812,5.74614828870423e-06,0.70365229986071,"sp.Q5W0Z9.ZDH20_HUMAN",0.228384596770054,0.218428153302888,0.028364289519671,-0.20550205478548,0.0229067673730793,0.423930208088367
"9201","ZDHHC20","ZDHHC20..253832.",0.0124072264581178,0.355323605278898,1.8827679368157e-05,-0.348328694581812,5.74614828870423e-06,0.70365229986071,"sp.Q5W0Z9.3.ZDH20_HUMAN",0.310662878356961,0.263749413964021,0.0484586485693482,-0.353733627502742,0.0257569408017977,0.617483041466762
"9202","ZDHHC21","ZDHHC21..340481.",0.137763881223137,0.252871365791932,2.37182245661397e-05,-0.371565066747587,0.000487586823906295,0.624436432539519,"sp.Q8IVQ6.ZDH21_HUMAN",0.14354251277559,0.257496481785932,0.353832742422142,-0.112500903333842,0.0361584454941212,0.369997385119775
"9203","ZDHHC3","ZDHHC3..51304.",0.234686628902459,0.163515298805788,9.95083082361192e-06,-0.272705171416275,0.00452768744850483,0.436220470222064,"sp.Q9NYG2.2.ZDHC3_HUMAN",0.701739286386124,0.0930727291742118,0.580424672446768,-0.0476055719752637,0.565623720743236,0.140678301149476
"9204","ZDHHC4","ZDHHC4..55146.",0.00113357744583375,0.295590415506383,2.27911379028836e-05,-0.542245597834289,5.28603721254346e-09,0.837836013340672,"sp.Q9NPG8.ZDHC4_HUMAN",0.0235211634864562,0.321591653516018,0.572249480100642,-0.156960430359367,0.0960415748633326,0.478552083875385
"9205","ZDHHC5","ZDHHC5..25921.",0.0356078794934863,0.158804501305372,0.439915696511198,-0.0569398163928962,0.0223955016773186,0.215744317698269,"sp.Q9C0B5.ZDHC5_HUMAN",0.220432616313447,0.0956969782362266,0.926488173968497,0.00602410377955734,0.328264050188084,0.0896728744566693
"9206","ZDHHC6","ZDHHC6..64429.",0.196480823143292,0.175574477305773,5.00582133717226e-10,-0.363847969236385,0.000493119609446058,0.539422446542158,"sp.Q9H6R6.ZDHC6_HUMAN",0.633808251792133,-0.0720110444403217,0.515756077261483,-0.0462620879681096,0.867646505729285,-0.025748956472212
"9207","ZDHHC7","ZDHHC7..55625.",0.00651153429048774,0.399778484157157,0.000352138314646184,-0.318135755627221,1.96523966728856e-05,0.717914239784378,"sp.Q9NXF8.ZDHC7_HUMAN",0.568522826018195,0.108913429974649,0.154650113421817,-0.199326303273476,0.118718003343575,0.308239733248125
"9208","ZDHHC8","ZDHHC8..29801.",9.44123970888474e-06,0.782477571239792,0.00274714464158739,-0.356555968701383,1.00779388534733e-08,1.13903353994118,"sp.Q9ULC8.ZDHC8_HUMAN",0.244030325497888,0.242659729643509,0.446036305729938,0.0775514501552849,0.421743251126165,0.165108279488224
"9209","ZEB1","ZEB1..6935.",0.329192797017243,0.322932366128031,0.0656539462082167,-0.316840365538918,0.0628163741609634,0.639772731666949,"sp.P37275.2.ZEB1_HUMAN",0.0815239471835195,0.623782930815259,0.76057625885392,0.0572234294326746,0.122471708457899,0.566559501382584
