"","Gene_ID","Gene_Name","AmplificationRatio"
"13244","HCST..10870.","HCST",0.00810810810810811
"13245","TYROBP..7305.","TYROBP",0.00810810810810811
"13246","LRFN3..79414.","LRFN3",0.00810810810810811
"13247","LOC105372383..105372383.","LOC105372383",0.00810810810810811
"13248","SDHAF1..644096.","SDHAF1",0.0108108108108108
"13249","SYNE4..163183.","SYNE4",0.0108108108108108
"13250","ALKBH6..84964.","ALKBH6",0.0108108108108108
"13251","LOC101927572..101927572.","LOC101927572",0.0108108108108108
"13252","CLIP3..25999.","CLIP3",0.0108108108108108
"13253","THAP8..199745.","THAP8",0.0108108108108108
"13254","WDR62..284403.","WDR62",0.0135135135135135
"13255","OVOL3..728361.","OVOL3",0.0135135135135135
"13256","POLR2I..5438.","POLR2I",0.0135135135135135
"13257","TBCB..1155.","TBCB",0.0135135135135135
"13258","CAPNS1..826.","CAPNS1",0.0135135135135135
"13259","COX7A1..1346.","COX7A1",0.0135135135135135
"13260","ZNF565..147929.","ZNF565",0.0135135135135135
"13261","ZNF146..7705.","ZNF146",0.0135135135135135
"13262","LOC100134317..100134317.","LOC100134317",0.00810810810810811
"13263","LINC00665..100506930.","LINC00665",0.00540540540540541
"13264","ZFP14..57677.","ZFP14",0.00540540540540541
"13265","ZFP82..284406.","ZFP82",0.00540540540540541
"13266","LOC644189..644189.","LOC644189",0.00540540540540541
"13267","ZNF566..84924.","ZNF566",0.00540540540540541
"13268","LOC728752..728752.","LOC728752",0.00540540540540541
"13269","ZNF260..339324.","ZNF260",0.00540540540540541
"13270","ZNF529..57711.","ZNF529",0.00810810810810811
"13271","ZNF529.AS1..101927599.","ZNF529",0.00810810810810811
"13272","ZNF382..84911.","ZNF382",0.00810810810810811
"13273","ZNF461..92283.","ZNF461",0.00810810810810811
"13274","LINC01534..101927621.","LINC01534",0.00810810810810811
"13275","ZNF567..163081.","ZNF567",0.00810810810810811
"13276","ZNF850..342892.","ZNF850",0.00810810810810811
"13277","LOC728485..728485.","LOC728485",0.00810810810810811
"13278","ZNF790.AS1..284408.","ZNF790",0.00810810810810811
"13279","ZNF790..388536.","ZNF790",0.00810810810810811
"13280","ZNF345..25850.","ZNF345",0.00540540540540541
"13281","ZNF829..374899.","ZNF829",0.00540540540540541
"13282","ZNF568..374900.","ZNF568",0.00540540540540541
"13283","ZNF420..147923.","ZNF420",0.0027027027027027
"13284","ZNF585A..199704.","ZNF585A",0.0027027027027027
"13285","ZNF585B..92285.","ZNF585B",0.0027027027027027
"13286","ZNF383..163087.","ZNF383",0.0027027027027027
"13287","LINC01535..101927667.","LINC01535",0.0027027027027027
"13288","LOC284412..284412.","LOC284412",0.0027027027027027
"13289","HKR1..284459.","HKR1",0.00540540540540541
"13290","ZNF527..84503.","ZNF527",0.00540540540540541
"13291","ZNF569..148266.","ZNF569",0.00540540540540541
"13292","ZNF570..148268.","ZNF570",0.00540540540540541
"13293","ZNF793.AS1..101927720.","ZNF793",0.00540540540540541
"13294","ZNF793..390927.","ZNF793",0.00540540540540541
"13295","ZNF571.AS1..100507433.","ZNF571",0.00540540540540541
"13296","ZNF540..163255.","ZNF540",0.00540540540540541
"13297","ZNF571..51276.","ZNF571",0.00540540540540541
"13298","ZFP30..22835.","ZFP30",0.00540540540540541
"13299","ZNF781..163115.","ZNF781",0.00540540540540541
"13300","ZNF607..84775.","ZNF607",0.00540540540540541
"13301","ZNF573..126231.","ZNF573",0.00540540540540541
"13302","LOC644554..644554.","LOC644554",0.00810810810810811
"13303","LOC100631378..100631378.","LOC100631378",0.00810810810810811
"13304","WDR87..83889.","WDR87",0.00810810810810811
"13305","SIPA1L3..23094.","SIPA1L3",0.00810810810810811
"13306","SNORD152..109623473.","SNORD152",0.0108108108108108
"13307","DPF1..8193.","DPF1",0.0108108108108108
"13308","PPP1R14A..94274.","PPP1R14A",0.0108108108108108
"13309","SPINT2..10653.","SPINT2",0.0108108108108108
"13310","YIF1B..90522.","YIF1B",0.0108108108108108
"13311","C19orf33..64073.","C19orf33",0.0108108108108108
"13312","KCNK6..9424.","KCNK6",0.0108108108108108
"13313","CATSPERG..57828.","CATSPERG",0.0108108108108108
"13314","PSMD8..5714.","PSMD8",0.0108108108108108
"13315","GGN..199720.","GGN",0.0108108108108108
"13316","SPRED3..399473.","SPRED3",0.0108108108108108
"13317","FAM98C..147965.","FAM98C",0.0108108108108108
"13318","RASGRP4..115727.","RASGRP4",0.0108108108108108
"13319","RYR1..6261.","RYR1",0.0135135135135135
"13320","MAP4K1..11184.","MAP4K1",0.0135135135135135
"13321","LOC105372397..105372397.","LOC105372397",0.0135135135135135
"13322","EIF3K..27335.","EIF3K",0.0135135135135135
"13323","ACTN4..81.","ACTN4",0.0135135135135135
"13324","CAPN12..147968.","CAPN12",0.0108108108108108
"13325","LGALS7..3963.","LGALS7",0.0108108108108108
"13326","LGALS7B..653499.","LGALS7B",0.0108108108108108
"13327","LGALS4..3960.","LGALS4",0.0108108108108108
"13328","ECH1..1891.","ECH1",0.0135135135135135
"13329","HNRNPL..3191.","HNRNPL",0.0135135135135135
"13330","RINL..126432.","RINL",0.0135135135135135
"13331","SIRT2..22933.","SIRT2",0.0135135135135135
"13332","NFKBIB..4793.","NFKBIB",0.0162162162162162
"13333","CCER2..643669.","CCER2",0.0162162162162162
"13334","SARS2..54938.","SARS2",0.0162162162162162
"13335","MRPS12..6183.","MRPS12",0.0162162162162162
"13336","FBXO17..115290.","FBXO17",0.0162162162162162
"13337","FBXO27..126433.","FBXO27",0.0162162162162162
"13338","ACP7..390928.","ACP7",0.0162162162162162
"13339","PAK4..10298.","PAK4",0.0162162162162162
"13340","NCCRP1..342897.","NCCRP1",0.0162162162162162
"13341","SYCN..342898.","SYCN",0.0162162162162162
"13342","IFNL3..282617.","IFNL3",0.0162162162162162
"13343","IFNL4..101180976.","IFNL4",0.0162162162162162
"13344","IFNL2..282616.","IFNL2",0.0162162162162162
"13345","IFNL1..282618.","IFNL1",0.0135135135135135
"13346","LRFN1..57622.","LRFN1",0.0135135135135135
"13347","GMFG..9535.","GMFG",0.0135135135135135
"13348","SAMD4B..55095.","SAMD4B",0.0135135135135135
"13349","PAF1..54623.","PAF1",0.0135135135135135
"13350","MED29..55588.","MED29",0.0135135135135135
"13351","ZFP36..7538.","ZFP36",0.0135135135135135
"13352","MIR4530..100616163.","MIR4530",0.0135135135135135
"13353","PLEKHG2..64857.","PLEKHG2",0.0108108108108108
"13354","RPS16..6217.","RPS16",0.0108108108108108
"13355","SUPT5H..6829.","SUPT5H",0.0108108108108108
"13356","SNORD175..109623469.","SNORD175",0.0108108108108108
"13357","TIMM50..92609.","TIMM50",0.0108108108108108
"13358","DLL3..10683.","DLL3",0.0108108108108108
"13359","SELENOV..348303.","SELENOV",0.0108108108108108
"13360","EID2B..126272.","EID2B",0.0108108108108108
"13361","EID2..163126.","EID2",0.0108108108108108
"13362","LGALS13..29124.","LGALS13",0.0108108108108108
"13363","LOC100129935..100129935.","LOC100129935",0.0108108108108108
"13364","LGALS16..148003.","LGALS16",0.0108108108108108
"13365","LGALS17A..400696.","LGALS17A",0.0108108108108108
"13366","LGALS14..56891.","LGALS14",0.0108108108108108
"13367","CLC..1178.","CLC",0.0108108108108108
"13368","LEUTX..342900.","LEUTX",0.0108108108108108
"13369","DYRK1B..9149.","DYRK1B",0.0108108108108108
"13370","MIR6719..102465974.","MIR6719",0.0108108108108108
"13371","FBL..2091.","FBL",0.0108108108108108
"13372","FCGBP..8857.","FCGBP",0.0108108108108108
"13373","PSMC4..5704.","PSMC4",0.0108108108108108
"13374","ZNF546..339327.","ZNF546",0.0108108108108108
"13375","ZNF780B..163131.","ZNF780B",0.0108108108108108
"13376","ZNF780A..284323.","ZNF780A",0.0108108108108108
"13377","MAP3K10..4294.","MAP3K10",0.0108108108108108
"13378","TTC9B..148014.","TTC9B",0.0108108108108108
"13379","CNTD2..79935.","CNTD2",0.0108108108108108
"13380","AKT2..208.","AKT2",0.0108108108108108
"13381","MIR641..693226.","MIR641",0.0108108108108108
"13382","C19orf47..126526.","C19orf47",0.0108108108108108
"13383","PLD3..23646.","PLD3",0.00810810810810811
"13384","MIR6796..102465477.","MIR6796",0.00810810810810811
"13385","HIPK4..147746.","HIPK4",0.00810810810810811
"13386","PRX..57716.","PRX",0.00810810810810811
"13387","SERTAD1..29950.","SERTAD1",0.00810810810810811
"13388","SERTAD3..29946.","SERTAD3",0.00810810810810811
"13389","BLVRB..645.","BLVRB",0.00540540540540541
"13390","SPTBN4..57731.","SPTBN4",0.0027027027027027
"13391","SHKBP1..92799.","SHKBP1",0.0027027027027027
"13392","LTBP4..8425.","LTBP4",0.0027027027027027
"13393","NUMBL..9253.","NUMBL",0.0027027027027027
"13394","COQ8B..79934.","COQ8B",0.0027027027027027
"13395","ITPKC..80271.","ITPKC",0.0027027027027027
"13396","C19orf54..284325.","C19orf54",0.0027027027027027
"13397","SNRPA..6626.","SNRPA",0.0027027027027027
"13398","MIA..8190.","MIA",0.0027027027027027
"13399","MIA.RAB4B..100529262.","MIA",0.0027027027027027
"13400","RAB4B..53916.","RAB4B",0.0027027027027027
"13401","RAB4B.EGLN2..100529264.","RAB4B",0.0027027027027027
"13402","EGLN2..112398.","EGLN2",0.0027027027027027
"13403","CYP2T1P..171523.","CYP2T1P",0.0027027027027027
"13404","CYP2A6..1548.","CYP2A6",0.0027027027027027
"13405","CYP2A7..1549.","CYP2A7",0
"13406","CYP2G1P..22952.","CYP2G1P",0
"13407","CYP2B7P..1556.","CYP2B7P",0
"13408","CYP2B6..1555.","CYP2B6",0
"13409","CYP2A13..1553.","CYP2A13",0
"13410","CYP2F1..1572.","CYP2F1",0
"13411","CYP2S1..29785.","CYP2S1",0
"13412","AXL..558.","AXL",0
"13413","HNRNPUL1..11100.","HNRNPUL1",0
"13414","CCDC97..90324.","CCDC97",0
"13415","TGFB1..7040.","TGFB1",0
"13416","B9D2..80776.","B9D2",0
"13417","TMEM91..641649.","TMEM91",0
"13418","EXOSC5..56915.","EXOSC5",0
"13419","BCKDHA..593.","BCKDHA",0
"13420","B3GNT8..374907.","B3GNT8",0
"13421","DMAC2..55101.","DMAC2",0
"13422","ERICH4..100170765.","ERICH4",0
"13423","PCAT19..100505495.","PCAT19",0
"13424","LINC01480..101927931.","LINC01480",0
"13425","CEACAM21..90273.","CEACAM21",0
