"","X1","Protein_Id","Gene_Symbol","Uniprot_Acc"
"6322",6322,"sp.O43765.SGTA_HUMAN","SGTA","O43765"
"6323",6323,"sp.P86452.ZBED6_HUMAN","ZBED6","P86452"
"6324",6324,"sp.O95395.GCNT3_HUMAN","GCNT3","O95395"
"6325",6325,"sp.Q8N1G1.REXO1_HUMAN","REXO1","Q8N1G1"
"6326",6326,"sp.Q9Y2G2.5.CARD8_HUMAN","CARD8","Q9Y2G2-5"
"6327",6327,"sp.Q8TCF1.ZFAN1_HUMAN","ZFAND1","Q8TCF1"
"6328",6328,"sp.P42330.AK1C3_HUMAN","AKR1C3","P42330"
"6329",6329,"sp.Q04828.AK1C1_HUMAN","AKR1C1","Q04828"
"6330",6330,"sp.P52895.AK1C2_HUMAN","AKR1C2","P52895"
"6331",6331,"sp.P17516.AK1C4_HUMAN","AKR1C4","P17516"
"6332",6332,"sp.P51857.AK1D1_HUMAN","AKR1D1","P51857"
"6333",6333,"sp.Q96MG8.PCMD1_HUMAN","PCMTD1","Q96MG8"
"6334",6334,"sp.O14672.ADA10_HUMAN","ADAM10","O14672"
"6335",6335,"sp.Q16822.PCKGM_HUMAN","PCK2","Q16822"
"6336",6336,"sp.P35558.PCKGC_HUMAN","PCK1","P35558"
"6337",6337,"sp.Q9NQC8.2.IFT46_HUMAN","IFT46","Q9NQC8-2"
"6338",6338,"sp.O60637.TSN3_HUMAN","TSPAN3","O60637"
"6339",6339,"sp.Q3B7T1.EDRF1_HUMAN","EDRF1","Q3B7T1"
"6340",6340,"sp.Q96CP2.FWCH2_HUMAN","FLYWCH2","Q96CP2"
"6341",6341,"sp.Q8N6U8.4.GP161_HUMAN","GPR161","Q8N6U8-4"
"6342",6342,"sp.Q96H35.RBM18_HUMAN","RBM18","Q96H35"
"6343",6343,"sp.Q9H6T3.RPAP3_HUMAN","RPAP3","Q9H6T3"
"6344",6344,"sp.Q96N46.TTC14_HUMAN","TTC14","Q96N46"
"6345",6345,"sp.Q7Z699.SPRE1_HUMAN","SPRED1","Q7Z699"
"6346",6346,"sp.Q7Z698.SPRE2_HUMAN","SPRED2","Q7Z698"
"6347",6347,"sp.Q8N6M0.OTU6B_HUMAN","OTUD6B","Q8N6M0"
"6348",6348,"sp.Q96PC3.2.AP1S3_HUMAN","AP1S3","Q96PC3-2"
"6349",6349,"sp.P56377.AP1S2_HUMAN","AP1S2","P56377"
"6350",6350,"sp.P61966.AP1S1_HUMAN","AP1S1","P61966"
"6351",6351,"sp.P02748.CO9_HUMAN","C9","P02748"
"6352",6352,"sp.Q6ZMT4.KDM7A_HUMAN","KDM7A","Q6ZMT4"
"6353",6353,"sp.Q9Y2L1.RRP44_HUMAN","DIS3","Q9Y2L1"
"6354",6354,"sp.Q9BXW9.FACD2_HUMAN","FANCD2","Q9BXW9"
"6355",6355,"sp.Q13023.AKAP6_HUMAN","AKAP6","Q13023"
"6356",6356,"sp.P48637.GSHB_HUMAN","GSS","P48637"
"6357",6357,"sp.Q2M389.WASH7_HUMAN","KIAA1033","Q2M389"
"6358",6358,"sp.Q9NVK5.FGOP2_HUMAN","FGFR1OP2","Q9NVK5"
"6359",6359,"sp.Q99741.CDC6_HUMAN","CDC6","Q99741"
"6360",6360,"sp.Q70UQ0.4.IKIP_HUMAN","IKBIP","Q70UQ0-4"
"6361",6361,"sp.Q70UQ0.IKIP_HUMAN","IKBIP","Q70UQ0"
"6362",6362,"sp.Q8IVI9.4.NOSTN_HUMAN","NOSTRIN","Q8IVI9-4"
"6363",6363,"sp.P30419.NMT1_HUMAN","NMT1","P30419"
"6364",6364,"sp.O60551.NMT2_HUMAN","NMT2","O60551"
"6365",6365,"sp.O14910.LIN7A_HUMAN","LIN7A","O14910"
"6366",6366,"sp.Q9NUP9.LIN7C_HUMAN","LIN7C","Q9NUP9"
"6367",6367,"sp.Q7Z4H7.HAUS6_HUMAN","HAUS6","Q7Z4H7"
"6368",6368,"sp.Q99551.MTERF_HUMAN","MTERF","Q99551"
"6369",6369,"sp.Q15796.SMAD2_HUMAN","SMAD2","Q15796"
"6370",6370,"sp.P84022.SMAD3_HUMAN","SMAD3","P84022"
"6371",6371,"sp.O15198.SMAD9_HUMAN","SMAD9","O15198"
"6372",6372,"sp.Q15797.SMAD1_HUMAN","SMAD1","Q15797"
"6373",6373,"sp.Q99717.SMAD5_HUMAN","SMAD5","Q99717"
"6374",6374,"sp.Q96MF7.NSE2_HUMAN","NSMCE2","Q96MF7"
"6375",6375,"sp.Q15435.PP1R7_HUMAN","PPP1R7","Q15435"
"6376",6376,"sp.Q96T23.RSF1_HUMAN","RSF1","Q96T23"
"6377",6377,"sp.Q9BRT8.CBWD1_HUMAN","CBWD1","Q9BRT8"
"6378",6378,"sp.Q8IUF1.CBWD2_HUMAN","CBWD2","Q8IUF1"
"6379",6379,"sp.O75223.GGCT_HUMAN","GGCT","O75223"
"6380",6380,"sp.Q12846.STX4_HUMAN","STX4","Q12846"
"6381",6381,"sp.O15392.BIRC5_HUMAN","BIRC5","O15392"
"6382",6382,"sp.P32856.STX2_HUMAN","STX2","P32856"
"6383",6383,"sp.P61266.STX1B_HUMAN","STX1B","P61266"
"6384",6384,"sp.Q16623.STX1A_HUMAN","STX1A","Q16623"
"6385",6385,"sp.Q9Y5B6.PAXB1_HUMAN","PAXBP1","Q9Y5B6"
"6386",6386,"sp.Q9H7Z3.NRDE2_HUMAN","NRDE2","Q9H7Z3"
"6387",6387,"sp.Q9UKA2.FBXL4_HUMAN","FBXL4","Q9UKA2"
"6388",6388,"sp.Q00765.REEP5_HUMAN","REEP5","Q00765"
"6389",6389,"sp.Q96HR9.REEP6_HUMAN","REEP6","Q96HR9"
"6390",6390,"sp.Q9HCY8.S10AE_HUMAN","S100A14","Q9HCY8"
"6391",6391,"sp.Q86X76.NIT1_HUMAN","NIT1","Q86X76"
"6392",6392,"sp.P40692.MLH1_HUMAN","MLH1","P40692"
"6393",6393,"sp.Q8TCG1.CIP2A_HUMAN","KIAA1524","Q8TCG1"
"6394",6394,"sp.Q96T68.SETB2_HUMAN","SETDB2","Q96T68"
"6395",6395,"sp.Q9BPX3.CND3_HUMAN","NCAPG","Q9BPX3"
