"","RNA_Name","RNA_ID.x","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss","RNA_ID.y","RNA_ID.All","Variance.noAn","Variance.Mean.noAn","Variance.All","St.Dev.noAn","St.Dev.All","Chrm.Num.Arm","RNA_num"
"2886","FKBP5","FKBP5..2289.",0.169452075295014,0.330170230134508,0.0671788739262561,-0.328812864870709,0.0155017016713673,0.658983095005217,"sp.Q13451.FKBP5_HUMAN",0.0796137873986132,0.344069647793979,0.152145246726919,-0.214937233368539,0.0143993785121716,0.559006881162518,"Scaling","Scaling","Scaling","Buffering","FKBP5","FKBP5",2.12581289676937,0.550032082554071,2.05444227274629,1.458016768343,1.43333257576401,"6p","FKBP5"
"2887","FKBP7","FKBP7..51661.",0.000781698019842124,0.862651537753551,0.0081685776304984,-0.464040851926759,7.58590123726978e-06,1.32669238968031,"sp.Q9Y680.2.FKBP7_HUMAN",0.018542557547664,0.543479396889096,0.150243236261037,-0.24937533904793,0.00336354910313128,0.792854735937026,"Scaling","Scaling","Scaling","Buffering","FKBP7","FKBP7",1.58223645564165,0.533885793891514,1.70467656918711,1.25786980870106,1.30563263178702,"2q","FKBP7"
"2890","FKBP9","FKBP9..11328.",1.38368482748574e-07,0.91639949891843,0.0227082322646853,-0.688449421245332,7.37993483521849e-07,1.60484892016376,"sp.O95302.FKBP9_HUMAN",5.2838600878572e-07,0.561170403457352,0.0600097585916049,-0.367527405169036,9.4755433026541e-06,0.928697808626388,"Scaling","Scaling","Scaling","Scaling","FKBP9","FKBP9",2.99172185040978,0.54332259292304,2.85407597273092,1.72965946082163,1.68940106923457,"7p","FKBP9"
"2895","FLI1","FLI1..2313.",0.909057140894542,0.0340228238532212,0.00415613766734589,-0.550442027133741,0.052943985477416,0.584464850986962,"sp.Q01543.FLI1_HUMAN",0.667314160030127,0.146700964114897,0.00238650040510959,-0.783457183565687,0.00915996032562852,0.930158147680584,"Buffering","Scaling","Buffering","Scaling","FLI1","FLI1",3.91234133533015,2.85672874651999,3.42297674741881,1.97796393681233,1.85012884616688,"11q","FLI1"
"2900","FLNC","FLNC..2318.",0.140941612849623,0.40471763576814,0.636727834497561,0.183357158257391,0.597386171638011,0.221360477510748,"sp.Q14315.FLNC_HUMAN",0.173990655112841,0.219470536282291,0.167924409666412,0.32549605799375,0.679068658675014,-0.10602552171146,"Scaling","Anti-Scaling","Buffering","Anti-Scaling","FLNC","FLNC",4.93007703738339,2.50764063219022,5.53074075808274,2.22037767899594,2.35175269917624,"7q","FLNC"
"2903","FLRT2","FLRT2..23768.",0.861773501027382,0.049227437299874,0.665739639616983,-0.0897755473739217,0.652337669654455,0.139002984673796,"sp.O43155.FLRT2_HUMAN",0.578776957984584,-0.24121717295475,0.0601431677017164,-0.506198018844717,0.563024448272449,0.264980845889967,"Buffering","Buffering","Anti-Scaling","Scaling","FLRT2","FLRT2",3.13035070012705,1.88840710804186,3.00673150124099,1.7692797122352,1.73399293575291,"14q","FLRT2"
"2904","FLRT3","FLRT3..23767.",0.0741110993644579,0.363018940984867,0.117392132660872,-0.265663936408011,0.00373752628065932,0.628682877392878,"sp.Q9NZU0.FLRT3_HUMAN",0.664738656630422,0.0918470295330128,0.143284085776346,-0.291504948476125,0.0968309752826563,0.383351978009138,"Scaling","Scaling","Buffering","Scaling","FLRT3","FLRT3",2.16056850142402,1.62660222473912,2.23003891848367,1.46988724105763,1.49333148312211,"20p","FLRT3"
"2905","FLT3","FLT3..2322.",0.163218926604385,0.546826981068042,0.390188808634106,-0.0822989822408197,0.109978960944464,0.629125963308862,"sp.P36888.FLT3_HUMAN",0.0565488303014084,1.20427428384473,0.807132640114502,-0.0549148771744778,0.0504637149065331,1.25918916101921,"Scaling","Buffering","Scaling","Buffering","FLT3","FLT3",0.856772828559766,3.07140468487193,1.20396344005527,0.925620239925514,1.09725267830854,"13q","FLT3"
"2906","FLT4","FLT4..2324.",0.168071014418578,-0.23887592599664,0.363521518016297,-0.137810757629466,0.613134231305742,-0.101065168367174,"sp.P35916.VGFR3_HUMAN",0.429439190227908,0.116818789485521,0.911680185921437,0.0119123566781034,0.523639112503484,0.104906432807417,"Anti-Scaling","Buffering","Buffering","Buffering","FLT4","FLT4",1.53098366362472,1.93343915380855,1.46119491820024,1.23732924624965,1.20879895689905,"5q","FLT4"
"2910","FMN1","FMN1..342184.",0.142614704090329,0.429057698439677,0.426737194702138,0.120176406010845,0.301400266892619,0.308881292428832,"sp.Q68DA7.5.FMN1_HUMAN",0.0674444733177122,0.771297748112783,0.924265789484472,-0.0230664463987563,0.0705952339246839,0.79436419451154,"Scaling","Anti-Scaling","Scaling","Buffering","FMN1","FMN1",2.02958481398517,1.22464135323279,1.84939442728175,1.4246349756991,1.35992441969462,"15q","FMN1"
